"step","x_pos","y_pos","agent","status"
1,0,0.258778030052781,"one","safe"
2,0.0193877551020408,0.26881538033129,"one","safe"
3,0.0387755102040816,0.2788527306098,"one","safe"
4,0.0581632653061225,0.288890080888309,"one","safe"
5,0.0775510204081633,0.298927431166818,"one","safe"
6,0.0969387755102041,0.308964781445328,"one","safe"
7,0.116326530612245,0.319002131723837,"one","safe"
8,0.135714285714286,0.329039482002346,"one","safe"
9,0.155102040816327,0.339076832280855,"one","safe"
10,0.174489795918367,0.349114182559365,"one","safe"
11,0.193877551020408,0.359151532837874,"one","safe"
12,0.213265306122449,0.369188883116383,"one","safe"
13,0.23265306122449,0.379226233394893,"one","safe"
14,0.252040816326531,0.389263583673402,"one","safe"
15,0.271428571428571,0.399300933951911,"one","safe"
16,0.290816326530612,0.40933828423042,"one","safe"
17,0.310204081632653,0.41937563450893,"one","cutoff"
18,0.329591836734694,0.429412984787439,"one","cutoff"
19,0.348979591836735,0.439450335065948,"one","cutoff"
20,0.368367346938775,0.449487685344458,"one","cutoff"
21,0.387755102040816,0.459525035622967,"one","cutoff"
22,0.407142857142857,0.469562385901476,"one","cutoff"
23,0.426530612244898,0.479599736179985,"one","cutoff"
24,0.445918367346939,0.489637086458495,"one","cutoff"
25,0.46530612244898,0.499674436737004,"one","cutoff"
26,0.48469387755102,0.509711787015513,"one","cutoff"
27,0.504081632653061,0.519749137294023,"one","cutoff"
28,0.523469387755102,0.529786487572532,"one","cutoff"
29,0.542857142857143,0.539823837851041,"one","cutoff"
30,0.562244897959184,0.54986118812955,"one","cutoff"
31,0.581632653061224,0.55989853840806,"one","cutoff"
32,0.601020408163265,0.569935888686569,"one","cutoff"
33,0.620408163265306,0.579973238965078,"one","cutoff"
34,0.639795918367347,0.590010589243588,"one","cutoff"
35,0.659183673469388,0.600047939522097,"one","cutoff"
36,0.678571428571429,0.610085289800606,"one","cutoff"
37,0.697959183673469,0.620122640079115,"one","cutoff"
38,0.71734693877551,0.630159990357625,"one","cutoff"
39,0.736734693877551,0.640197340636134,"one","cutoff"
40,0.756122448979592,0.650234690914643,"one","cutoff"
41,0.775510204081633,0.660272041193153,"one","cutoff"
42,0.794897959183673,0.670309391471662,"one","cutoff"
43,0.814285714285714,0.680346741750171,"one","cutoff"
44,0.833673469387755,0.69038409202868,"one","cutoff"
45,0.853061224489796,0.70042144230719,"one","cutoff"
46,0.872448979591837,0.710458792585699,"one","cutoff"
47,0.891836734693878,0.720496142864208,"one","cutoff"
48,0.911224489795918,0.730533493142718,"one","cutoff"
49,0.930612244897959,0.740570843421227,"one","cutoff"
50,0.95,0.750608193699736,"one","cutoff"
1,0.458584032487124,0.673099285457283,"two","random"
2,0.438584032487124,0.653099285457283,"two","random"
3,0.458584032487124,0.633099285457283,"two","random"
4,0.478584032487124,0.613099285457283,"two","random"
5,0.498584032487124,0.593099285457283,"two","random"
6,0.518584032487124,0.613099285457283,"two","random"
7,0.498584032487124,0.633099285457283,"two","random"
8,0.478584032487124,0.613099285457283,"two","random"
9,0.458584032487124,0.633099285457283,"two","random"
10,0.438584032487124,0.613099285457283,"two","random"
11,0.418584032487124,0.633099285457283,"two","random"
12,0.438584032487124,0.653099285457283,"two","random"
13,0.458584032487124,0.673099285457283,"two","random"
14,0.438584032487124,0.653099285457283,"two","random"
15,0.418584032487124,0.633099285457283,"two","random"
16,0.398584032487124,0.653099285457283,"two","random"
17,0.378584032487124,0.633099285457283,"two","cutoff"
18,0.398174090735497,0.63712788544057,"two","cutoff"
19,0.417764148983871,0.641156485423858,"two","cutoff"
20,0.437354207232244,0.645185085407145,"two","cutoff"
21,0.456944265480617,0.649213685390432,"two","cutoff"
22,0.476534323728991,0.653242285373719,"two","cutoff"
23,0.496124381977364,0.657270885357006,"two","cutoff"
24,0.515714440225737,0.661299485340294,"two","cutoff"
25,0.535304498474111,0.665328085323581,"two","cutoff"
26,0.554894556722484,0.669356685306868,"two","cutoff"
27,0.574484614970857,0.673385285290155,"two","cutoff"
28,0.594074673219231,0.677413885273442,"two","cutoff"
29,0.613664731467604,0.68144248525673,"two","cutoff"
30,0.633254789715977,0.685471085240017,"two","cutoff"
31,0.652844847964351,0.689499685223304,"two","cutoff"
32,0.672434906212724,0.693528285206591,"two","cutoff"
33,0.692024964461097,0.697556885189878,"two","cutoff"
34,0.711615022709471,0.701585485173166,"two","cutoff"
35,0.731205080957844,0.705614085156453,"two","cutoff"
36,0.750795139206217,0.70964268513974,"two","cutoff"
37,0.770385197454591,0.713671285123027,"two","cutoff"
38,0.789975255702964,0.717699885106314,"two","cutoff"
39,0.809565313951337,0.721728485089602,"two","cutoff"
40,0.829155372199711,0.725757085072889,"two","cutoff"
41,0.848745430448084,0.729785685056176,"two","cutoff"
42,0.868335488696457,0.733814285039463,"two","cutoff"
43,0.88792554694483,0.73784288502275,"two","cutoff"
44,0.907515605193204,0.741871485006038,"two","cutoff"
45,0.927105663441577,0.745900084989325,"two","cutoff"
46,0.94669572168995,0.749928684972612,"two","cutoff"
47,0.966285779938324,0.753957284955899,"two","cutoff"
48,0.94669572168995,0.749928684972612,"two","cutoff"
49,0.966285779938324,0.753957284955899,"two","cutoff"
50,0.95,0.750608193699736,"two","cutoff"
