"step","x_pos","y_pos","agent","status"
1,0.623379441676661,1,"one","safe"
2,0.61944226310731,0.979591836734694,"one","safe"
3,0.615505084537958,0.959183673469388,"one","safe"
4,0.611567905968606,0.938775510204082,"one","safe"
5,0.607630727399255,0.918367346938776,"one","safe"
6,0.603693548829903,0.897959183673469,"one","safe"
7,0.599756370260551,0.877551020408163,"one","safe"
8,0.5958191916912,0.857142857142857,"one","safe"
9,0.591882013121848,0.836734693877551,"one","safe"
10,0.587944834552496,0.816326530612245,"one","safe"
11,0.584007655983145,0.795918367346939,"one","safe"
12,0.580070477413793,0.775510204081633,"one","safe"
13,0.576133298844441,0.755102040816326,"one","safe"
14,0.572196120275089,0.73469387755102,"one","safe"
15,0.568258941705738,0.714285714285714,"one","safe"
16,0.564321763136386,0.693877551020408,"one","safe"
17,0.560384584567034,0.673469387755102,"one","safe"
18,0.556447405997683,0.653061224489796,"one","safe"
19,0.552510227428331,0.63265306122449,"one","safe"
20,0.548573048858979,0.612244897959184,"one","safe"
21,0.544635870289628,0.591836734693878,"one","safe"
22,0.540698691720276,0.571428571428571,"one","evading!"
23,0.536761513150924,0.551020408163265,"one","evading!"
24,0.532824334581573,0.530612244897959,"one","evading!"
25,0.528887156012221,0.510204081632653,"one","evading!"
26,0.524949977442869,0.489795918367347,"one","evading!"
27,0.521012798873518,0.469387755102041,"one","evading!"
28,0.517075620304166,0.448979591836735,"one","evading!"
29,0.513138441734814,0.428571428571429,"one","evading!"
30,0.509201263165463,0.408163265306122,"one","evading!"
31,0.505264084596111,0.387755102040816,"one","evading!"
32,0.501326906026759,0.36734693877551,"one","evading!"
33,0.497389727457408,0.346938775510204,"one","evading!"
34,0.493452548888056,0.326530612244898,"one","evading!"
35,0.489515370318704,0.306122448979592,"one","evading!"
36,0.485578191749352,0.285714285714286,"one","evading!"
37,0.481641013180001,0.26530612244898,"one","evading!"
38,0.477703834610649,0.244897959183674,"one","evading!"
39,0.473766656041297,0.224489795918367,"one","evading!"
40,0.469829477471946,0.204081632653061,"one","evading!"
41,0.465892298902594,0.183673469387755,"one","evading!"
42,0.461955120333242,0.163265306122449,"one","evading!"
43,0.458017941763891,0.142857142857143,"one","evading!"
44,0.454080763194539,0.122448979591837,"one","evading!"
45,0.450143584625187,0.102040816326531,"one","evading!"
46,0.446206406055836,0.0816326530612246,"one","evading!"
47,0.442269227486484,0.0612244897959184,"one","evading!"
48,0.438332048917132,0.0408163265306123,"one","evading!"
49,0.434394870347781,0.0204081632653061,"one","evading!"
50,0.430457691778429,1.11022302462516e-16,"one","evading!"
